[metadata]
url=https://www.uni-kl.de/channel-codes/ml-simulation-results/
title=BCH (1023,1013,1)
info=https://www.uni-kl.de/fileadmin/_processed_/0/4/csm_bch1023_5abf62b1cc.png
ci=off
command=./bin/aff3ct --sim-type "BFER" -C "BCH" -N "1023" -K "1013" -T "1" -m "0" -M "10" -s "0.2" -e "1000" --chn-type "AWGN" --chn-implem "FAST"

[trace]
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-07-27 08:50:34
#    ** Git version            = v1.3.2-825-g5c9c077
#    ** Code type (C)          = BCH
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 48 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.990225 (1013/1023)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = STD
#    ** Info. bits (K_info)    = 1013
# * Codec -----------------------------------------
#    ** Type                   = BCH
#    ** Info. bits (K)         = 1013
#    ** Codeword size (N_cw)   = 1023
#    ** Frame size (N)         = 1023
#    ** Code rate              = 0.990225 (1013/1023)
# * Encoder ---------------------------------------
#    ** Type                   = BCH
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 10
#    ** Correction power (T)   = 1
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = STD
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
#
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput
#         (SNR)        ||                                                      ||  and elapsed time
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss)
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
# End of the simulation.
      -0.04 |     0.00 ||     1076 |    88352 |     1076 | 8.11e-02 | 1.00e+00 ||    1.277 | 00h00'00
       0.16 |     0.20 ||     1068 |    81810 |     1068 | 7.56e-02 | 1.00e+00 ||  143.220 | 00h00'00
       0.36 |     0.40 ||     1046 |    75240 |     1046 | 7.10e-02 | 1.00e+00 ||  144.261 | 00h00'00
       0.56 |     0.60 ||     1074 |    72733 |     1074 | 6.69e-02 | 1.00e+00 ||  159.082 | 00h00'00
       0.76 |     0.80 ||     1048 |    66410 |     1048 | 6.26e-02 | 1.00e+00 ||  152.664 | 00h00'00
       0.96 |     1.00 ||     1056 |    62313 |     1056 | 5.83e-02 | 1.00e+00 ||  164.776 | 00h00'00
       1.16 |     1.20 ||     1053 |    57615 |     1053 | 5.40e-02 | 1.00e+00 ||  160.670 | 00h00'00
       1.36 |     1.40 ||     1086 |    55289 |     1086 | 5.03e-02 | 1.00e+00 ||  170.640 | 00h00'00
       1.56 |     1.60 ||     1088 |    50784 |     1088 | 4.61e-02 | 1.00e+00 ||  168.782 | 00h00'00
       1.76 |     1.80 ||     1087 |    47152 |     1087 | 4.28e-02 | 1.00e+00 ||  174.783 | 00h00'00
       1.96 |     2.00 ||     1092 |    43525 |     1092 | 3.93e-02 | 1.00e+00 ||  178.880 | 00h00'00
       2.16 |     2.20 ||     1064 |    38555 |     1064 | 3.58e-02 | 1.00e+00 ||  189.459 | 00h00'00
       2.36 |     2.40 ||     1081 |    35772 |     1081 | 3.27e-02 | 1.00e+00 ||  182.875 | 00h00'00
       2.56 |     2.60 ||     1072 |    32133 |     1072 | 2.96e-02 | 1.00e+00 ||  193.917 | 00h00'00
       2.76 |     2.80 ||     1086 |    29521 |     1086 | 2.68e-02 | 1.00e+00 ||  187.701 | 00h00'00
       2.96 |     3.00 ||     1074 |    26285 |     1074 | 2.42e-02 | 1.00e+00 ||  202.638 | 00h00'00
       3.16 |     3.20 ||     1083 |    23851 |     1083 | 2.17e-02 | 1.00e+00 ||  195.036 | 00h00'00
       3.36 |     3.40 ||     1092 |    21654 |     1092 | 1.96e-02 | 1.00e+00 ||  201.383 | 00h00'00
       3.56 |     3.60 ||     1047 |    18752 |     1047 | 1.77e-02 | 1.00e+00 ||  201.178 | 00h00'00
       3.76 |     3.80 ||     1069 |    16808 |     1069 | 1.55e-02 | 1.00e+00 ||  210.639 | 00h00'00
       3.96 |     4.00 ||     1055 |    14811 |     1055 | 1.39e-02 | 1.00e+00 ||  195.235 | 00h00'00
       4.16 |     4.20 ||     1047 |    12947 |     1046 | 1.22e-02 | 9.99e-01 ||  213.747 | 00h00'00
       4.36 |     4.40 ||     1071 |    11639 |     1070 | 1.07e-02 | 9.99e-01 ||  217.071 | 00h00'00
