#CI IGNORE
Run command:
./bin/aff3ct --sim-type "BFER" -C "BCH" -N "127" -K "120" -T "1" -m "0" -M "10" -s "0.2" -e "1000" --chn-type "AWGN" --chn-implem "FAST" --sim-pyber "BCH (127,120,1)"
Curve name:
BCH (127,120,1)
Trace:
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-07-27 09:10:22
#    ** Git version            = v1.3.2-825-g5c9c077
#    ** Code type (C)          = BCH
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 48 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.944882 (120/127)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = STD
#    ** Info. bits (K_info)    = 120
# * Codec -----------------------------------------
#    ** Type                   = BCH
#    ** Info. bits (K)         = 120
#    ** Codeword size (N_cw)   = 127
#    ** Frame size (N)         = 127
#    ** Code rate              = 0.944882 (120/127)
# * Encoder ---------------------------------------
#    ** Type                   = BCH
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 7
#    ** Correction power (T)   = 1
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = STD
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
#
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput
#         (SNR)        ||                                                      ||  and elapsed time
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss)
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
      -0.25 |     0.00 ||     3740 |    40752 |     3740 | 9.08e-02 | 1.00e+00 ||    1.581 | 00h00'00
      -0.05 |     0.20 ||     3742 |    38704 |     3738 | 8.62e-02 | 9.99e-01 ||   72.019 | 00h00'00
       0.15 |     0.40 ||     3883 |    37905 |     3880 | 8.13e-02 | 9.99e-01 ||   81.234 | 00h00'00
       0.35 |     0.60 ||     3891 |    35762 |     3887 | 7.66e-02 | 9.99e-01 ||   81.048 | 00h00'00
       0.55 |     0.80 ||     3931 |    34452 |     3924 | 7.30e-02 | 9.98e-01 ||   84.071 | 00h00'00
       0.75 |     1.00 ||     3962 |    32362 |     3953 | 6.81e-02 | 9.98e-01 ||   86.712 | 00h00'00
       0.95 |     1.20 ||     4014 |    30949 |     3990 | 6.43e-02 | 9.94e-01 ||   88.155 | 00h00'00
       1.15 |     1.40 ||     4133 |    29817 |     4108 | 6.01e-02 | 9.94e-01 ||   92.186 | 00h00'00
       1.35 |     1.60 ||     4292 |    28681 |     4227 | 5.57e-02 | 9.85e-01 ||   93.644 | 00h00'00
       1.55 |     1.80 ||     4251 |    26749 |     4183 | 5.24e-02 | 9.84e-01 ||   96.742 | 00h00'00
       1.75 |     2.00 ||     4420 |    25779 |     4286 | 4.86e-02 | 9.70e-01 ||   99.718 | 00h00'00
       1.95 |     2.20 ||     4528 |    24280 |     4324 | 4.47e-02 | 9.55e-01 ||  104.392 | 00h00'00
       2.15 |     2.40 ||     4666 |    23422 |     4395 | 4.18e-02 | 9.42e-01 ||  102.549 | 00h00'00
       2.35 |     2.60 ||     4805 |    22134 |     4405 | 3.84e-02 | 9.17e-01 ||  109.205 | 00h00'00
       2.55 |     2.80 ||     4886 |    20489 |     4327 | 3.49e-02 | 8.86e-01 ||  108.558 | 00h00'00
       2.75 |     3.00 ||     4740 |    18079 |     4036 | 3.18e-02 | 8.51e-01 ||  115.095 | 00h00'00
       2.95 |     3.20 ||     4816 |    16271 |     3862 | 2.82e-02 | 8.02e-01 ||  114.598 | 00h00'00
       3.15 |     3.40 ||     4976 |    14879 |     3713 | 2.49e-02 | 7.46e-01 ||  126.188 | 00h00'00
       3.35 |     3.60 ||     5074 |    13352 |     3425 | 2.19e-02 | 6.75e-01 ||  127.434 | 00h00'00
       3.55 |     3.80 ||     5071 |    11768 |     3157 | 1.93e-02 | 6.23e-01 ||  126.775 | 00h00'00
       3.75 |     4.00 ||     5182 |    10309 |     2863 | 1.66e-02 | 5.52e-01 ||  133.614 | 00h00'00
       3.95 |     4.20 ||     5113 |     8500 |     2448 | 1.39e-02 | 4.79e-01 ||  137.724 | 00h00'00
