[metadata]
command=./bin/aff3ct --sim-type "BFER" -C "BCH" -N "15" -K "7" -T "2" -m "0" -M "10" -s "0.2" -e "1000" --chn-type "AWGN" --chn-implem "FAST"
title=BCH (15,7,2)
ci=on

[trace]
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-07-27 09:29:41
#    ** Git version            = v1.3.2-825-g5c9c077
#    ** Code type (C)          = BCH
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 8 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.466667 (7/15)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = STD
#    ** Info. bits (K_info)    = 7
# * Codec -----------------------------------------
#    ** Type                   = BCH
#    ** Info. bits (K)         = 7
#    ** Codeword size (N_cw)   = 15
#    ** Frame size (N)         = 15
#    ** Code rate              = 0.466667 (7/15)
# * Encoder ---------------------------------------
#    ** Type                   = BCH
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 4
#    ** Correction power (T)   = 2
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = STD
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
#
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput
#         (SNR)        ||                                                      ||  and elapsed time
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss)
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
      -3.31 |     0.00 ||     2176 |     2152 |     1001 | 1.41e-01 | 4.60e-01 ||    0.469 | 00h00'00
      -3.11 |     0.20 ||     2304 |     2155 |     1001 | 1.34e-01 | 4.34e-01 ||   14.024 | 00h00'00
      -2.91 |     0.40 ||     2623 |     2196 |     1005 | 1.20e-01 | 3.83e-01 ||   15.314 | 00h00'00
      -2.71 |     0.60 ||     2619 |     2111 |     1001 | 1.15e-01 | 3.82e-01 ||   10.659 | 00h00'00
      -2.51 |     0.80 ||     2772 |     2119 |     1007 | 1.09e-01 | 3.63e-01 ||   16.556 | 00h00'00
      -2.31 |     1.00 ||     2967 |     2140 |     1009 | 1.03e-01 | 3.40e-01 ||    9.976 | 00h00'00
      -2.11 |     1.20 ||     3324 |     2111 |     1002 | 9.07e-02 | 3.01e-01 ||   18.065 | 00h00'00
      -1.91 |     1.40 ||     3559 |     2085 |     1004 | 8.37e-02 | 2.82e-01 ||   18.760 | 00h00'00
      -1.71 |     1.60 ||     4026 |     2117 |     1005 | 7.51e-02 | 2.50e-01 ||   18.182 | 00h00'00
      -1.51 |     1.80 ||     4180 |     2053 |     1006 | 7.02e-02 | 2.41e-01 ||   19.730 | 00h00'00
      -1.31 |     2.00 ||     4494 |     2018 |     1000 | 6.41e-02 | 2.23e-01 ||   10.190 | 00h00'00
      -1.11 |     2.20 ||     5075 |     2027 |     1003 | 5.71e-02 | 1.98e-01 ||   17.006 | 00h00'00
      -0.91 |     2.40 ||     5696 |     2093 |     1000 | 5.25e-02 | 1.76e-01 ||   20.107 | 00h00'00
      -0.71 |     2.60 ||     6212 |     2044 |     1002 | 4.70e-02 | 1.61e-01 ||   25.237 | 00h00'00
      -0.51 |     2.80 ||     6867 |     2052 |     1003 | 4.27e-02 | 1.46e-01 ||   26.082 | 00h00'00
      -0.31 |     3.00 ||     8180 |     1999 |     1003 | 3.49e-02 | 1.23e-01 ||   26.820 | 00h00'00
      -0.11 |     3.20 ||     9666 |     2003 |     1002 | 2.96e-02 | 1.04e-01 ||   26.893 | 00h00'00
       0.09 |     3.40 ||    10372 |     2006 |     1000 | 2.76e-02 | 9.64e-02 ||   26.644 | 00h00'00
       0.29 |     3.60 ||    12112 |     1992 |     1003 | 2.35e-02 | 8.28e-02 ||   25.017 | 00h00'00
       0.49 |     3.80 ||    14681 |     1995 |     1000 | 1.94e-02 | 6.81e-02 ||   28.225 | 00h00'00
       0.69 |     4.00 ||    16112 |     1982 |     1000 | 1.76e-02 | 6.21e-02 ||   28.366 | 00h00'00
       0.89 |     4.20 ||    19567 |     2033 |     1001 | 1.48e-02 | 5.12e-02 ||   28.903 | 00h00'00
       1.09 |     4.40 ||    23259 |     1975 |     1000 | 1.21e-02 | 4.30e-02 ||   29.346 | 00h00'00
       1.29 |     4.60 ||    28013 |     1964 |     1000 | 1.00e-02 | 3.57e-02 ||   29.408 | 00h00'00
       1.49 |     4.80 ||    36636 |     1944 |     1000 | 7.58e-03 | 2.73e-02 ||   29.945 | 00h00'00
       1.69 |     5.00 ||    45340 |     1965 |     1000 | 6.19e-03 | 2.21e-02 ||   30.198 | 00h00'00
       1.89 |     5.20 ||    57810 |     1949 |     1000 | 4.82e-03 | 1.73e-02 ||   30.435 | 00h00'00
