[metadata]
command=./bin/aff3ct --sim-type "BFER" -C "BCH" -N "31" -K "16" -T "3" -m "0" -M "10" -s "0.2" -e "1000" --src-implem "FAST" --mdm-implem "FAST" --chn-type "AWGN" --chn-implem "FAST" 
title=BCH (31,16,3)
ci=off

[trace]
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-07-27 09:44:47
#    ** Git version            = v1.3.2-825-g5c9c077
#    ** Code type (C)          = BCH
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 48 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.516129 (16/31)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = FAST
#    ** Info. bits (K_info)    = 16
# * Codec -----------------------------------------
#    ** Type                   = BCH
#    ** Info. bits (K)         = 16
#    ** Codeword size (N_cw)   = 31
#    ** Frame size (N)         = 31
#    ** Code rate              = 0.516129 (16/31)
# * Encoder ---------------------------------------
#    ** Type                   = BCH
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 5
#    ** Correction power (T)   = 3
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = FAST
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
# 
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput  
#         (SNR)        ||                                                      ||  and elapsed time   
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT 
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss) 
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
      -2.87 |     0.00 ||    11172 |    25312 |     7971 | 1.42e-01 | 7.13e-01 ||    0.629 | 00h00'00   
      -2.67 |     0.20 ||    13460 |    29191 |     9339 | 1.36e-01 | 6.94e-01 ||   35.881 | 00h00'00   
      -2.47 |     0.40 ||    12172 |    24980 |     8060 | 1.28e-01 | 6.62e-01 ||   37.302 | 00h00'00   
      -2.27 |     0.60 ||    14610 |    27794 |     9194 | 1.19e-01 | 6.29e-01 ||   40.478 | 00h00'00   
      -2.07 |     0.80 ||    12339 |    21696 |     7206 | 1.10e-01 | 5.84e-01 ||   38.832 | 00h00'00   
      -1.87 |     1.00 ||    14082 |    23335 |     7865 | 1.04e-01 | 5.59e-01 ||   41.856 | 00h00'00   
      -1.67 |     1.20 ||    11966 |    17931 |     6186 | 9.37e-02 | 5.17e-01 ||   41.666 | 00h00'00   
      -1.47 |     1.40 ||    14458 |    19883 |     6859 | 8.60e-02 | 4.74e-01 ||   45.780 | 00h00'00   
      -1.27 |     1.60 ||    12118 |    15728 |     5484 | 8.11e-02 | 4.53e-01 ||   40.931 | 00h00'00   
      -1.07 |     1.80 ||    14680 |    16916 |     6019 | 7.20e-02 | 4.10e-01 ||   47.460 | 00h00'00   
      -0.87 |     2.00 ||    12402 |    12958 |     4626 | 6.53e-02 | 3.73e-01 ||   45.180 | 00h00'00   
      -0.67 |     2.20 ||    15157 |    14050 |     5106 | 5.79e-02 | 3.37e-01 ||   48.766 | 00h00'00   
      -0.47 |     2.40 ||    14938 |    12250 |     4476 | 5.13e-02 | 3.00e-01 ||   47.965 | 00h00'00   
      -0.27 |     2.60 ||    17998 |    12728 |     4705 | 4.42e-02 | 2.61e-01 ||   52.877 | 00h00'00   
      -0.07 |     2.80 ||    14989 |     9479 |     3526 | 3.95e-02 | 2.35e-01 ||   51.201 | 00h00'00   
       0.13 |     3.00 ||    17196 |     9025 |     3330 | 3.28e-02 | 1.94e-01 ||   58.702 | 00h00'00   
       0.33 |     3.20 ||    14591 |     6871 |     2583 | 2.94e-02 | 1.77e-01 ||   53.570 | 00h00'00   
       0.53 |     3.40 ||    18828 |     7072 |     2693 | 2.35e-02 | 1.43e-01 ||   61.043 | 00h00'00   
       0.73 |     3.60 ||    15542 |     5073 |     1936 | 2.04e-02 | 1.25e-01 ||   54.402 | 00h00'00   
       0.93 |     3.80 ||    18235 |     4526 |     1762 | 1.55e-02 | 9.66e-02 ||   59.824 | 00h00'00   
       1.13 |     4.00 ||    15656 |     3171 |     1240 | 1.27e-02 | 7.92e-02 ||   57.191 | 00h00'00   
       1.33 |     4.20 ||    19259 |     3116 |     1214 | 1.01e-02 | 6.30e-02 ||   64.063 | 00h00'00   
