[metadata]
ci=off
command=./bin/aff3ct --sim-type "BFER" -C "BCH" -N "31" -K "21" -T "2" -m "0" -M "10" -s "0.2" -e "1000" --chn-type "AWGN" --chn-implem "FAST"
info=https://www.uni-kl.de/fileadmin/_processed_/d/2/csm_bch31_1ec9ea79e7.png
title=BCH (31,21,2)
url=https://www.uni-kl.de/channel-codes/ml-simulation-results/

[trace]
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-07-27 09:35:07
#    ** Git version            = v1.3.2-825-g5c9c077
#    ** Code type (C)          = BCH
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 48 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.677419 (21/31)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = STD
#    ** Info. bits (K_info)    = 21
# * Codec -----------------------------------------
#    ** Type                   = BCH
#    ** Info. bits (K)         = 21
#    ** Codeword size (N_cw)   = 31
#    ** Frame size (N)         = 31
#    ** Code rate              = 0.677419 (21/31)
# * Encoder ---------------------------------------
#    ** Type                   = BCH
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 5
#    ** Correction power (T)   = 2
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = STD
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
#
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput
#         (SNR)        ||                                                      ||  and elapsed time
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss)
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
      -1.69 |     0.00 ||    10489 |    28072 |     7761 | 1.27e-01 | 7.40e-01 ||    0.773 | 00h00'00
      -1.49 |     0.20 ||    12935 |    32390 |     9240 | 1.19e-01 | 7.14e-01 ||   43.763 | 00h00'00
      -1.29 |     0.40 ||    10737 |    25479 |     7383 | 1.13e-01 | 6.88e-01 ||   44.871 | 00h00'00
      -1.09 |     0.60 ||    13135 |    29170 |     8526 | 1.06e-01 | 6.49e-01 ||   47.541 | 00h00'00
      -0.89 |     0.80 ||    10708 |    22043 |     6579 | 9.80e-02 | 6.14e-01 ||   47.152 | 00h00'00
      -0.69 |     1.00 ||    13541 |    25781 |     7847 | 9.07e-02 | 5.79e-01 ||   51.636 | 00h00'00
      -0.49 |     1.20 ||    11271 |    19691 |     6088 | 8.32e-02 | 5.40e-01 ||   47.739 | 00h00'00
      -0.29 |     1.40 ||    13890 |    22122 |     6894 | 7.58e-02 | 4.96e-01 ||   57.555 | 00h00'00
      -0.09 |     1.60 ||    11536 |    16636 |     5281 | 6.87e-02 | 4.58e-01 ||   52.860 | 00h00'00
       0.11 |     1.80 ||    13906 |    18394 |     5911 | 6.30e-02 | 4.25e-01 ||   55.518 | 00h00'00
       0.31 |     2.00 ||    10231 |    11557 |     3741 | 5.38e-02 | 3.66e-01 ||   53.713 | 00h00'00
       0.51 |     2.20 ||    14429 |    14997 |     4957 | 4.95e-02 | 3.44e-01 ||   59.589 | 00h00'00
       0.71 |     2.40 ||    12188 |    11334 |     3756 | 4.43e-02 | 3.08e-01 ||   56.827 | 00h00'00
       0.91 |     2.60 ||    14882 |    12099 |     4040 | 3.87e-02 | 2.71e-01 ||   59.882 | 00h00'00
       1.11 |     2.80 ||    12556 |     8561 |     2902 | 3.25e-02 | 2.31e-01 ||   59.981 | 00h00'00
       1.31 |     3.00 ||    15503 |     9250 |     3139 | 2.84e-02 | 2.02e-01 ||   64.176 | 00h00'00
       1.51 |     3.20 ||    12666 |     6286 |     2138 | 2.36e-02 | 1.69e-01 ||   61.231 | 00h00'00
       1.71 |     3.40 ||    15630 |     6290 |     2217 | 1.92e-02 | 1.42e-01 ||   73.380 | 00h00'00
       1.91 |     3.60 ||    12948 |     4315 |     1489 | 1.59e-02 | 1.15e-01 ||   68.422 | 00h00'00
       2.11 |     3.80 ||    16023 |     4405 |     1582 | 1.31e-02 | 9.87e-02 ||   74.957 | 00h00'00
       2.31 |     4.00 ||    13378 |     2950 |     1037 | 1.05e-02 | 7.75e-02 ||   69.402 | 00h00'00
       2.51 |     4.20 ||    16847 |     2839 |     1018 | 8.02e-03 | 6.04e-02 ||   78.081 | 00h00'00
       2.71 |     4.40 ||    20419 |     2819 |     1002 | 6.57e-03 | 4.91e-02 ||   88.558 | 00h00'00
