#CI IGNORE
Run command:
./bin/aff3ct --sim-type "BFER" -C "BCH" -N "511" -K "475" -T "4" -m "0" -M "10" -s "0.2" -e "1000" --chn-type "AWGN" --chn-implem "FAST" --sim-pyber "BCH (511,475,4)"
Curve name:
BCH (511,475,4)
Trace:
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-07-27 08:50:15
#    ** Git version            = v1.3.2-825-g5c9c077
#    ** Code type (C)          = BCH
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 8 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.92955 (475/511)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = STD
#    ** Info. bits (K_info)    = 475
# * Codec -----------------------------------------
#    ** Type                   = BCH
#    ** Info. bits (K)         = 475
#    ** Codeword size (N_cw)   = 511
#    ** Frame size (N)         = 511
#    ** Code rate              = 0.92955 (475/511)
# * Encoder ---------------------------------------
#    ** Type                   = BCH
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 9
#    ** Correction power (T)   = 4
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = STD
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
#
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput
#         (SNR)        ||                                                      ||  and elapsed time
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss)
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
      -0.32 |     0.00 ||     1158 |    47461 |     1158 | 8.63e-02 | 1.00e+00 ||    4.772 | 00h00'00
      -0.12 |     0.20 ||     1009 |    39328 |     1009 | 8.21e-02 | 1.00e+00 ||   58.073 | 00h00'00
       0.08 |     0.40 ||     1007 |    36541 |     1007 | 7.64e-02 | 1.00e+00 ||   62.913 | 00h00'00
       0.28 |     0.60 ||     1009 |    34633 |     1009 | 7.23e-02 | 1.00e+00 ||   59.206 | 00h00'00
       0.48 |     0.80 ||     1014 |    32528 |     1014 | 6.75e-02 | 1.00e+00 ||   56.300 | 00h00'00
       0.68 |     1.00 ||     1012 |    30565 |     1012 | 6.36e-02 | 1.00e+00 ||   62.227 | 00h00'00
       0.88 |     1.20 ||     1009 |    28158 |     1009 | 5.88e-02 | 1.00e+00 ||   64.246 | 00h00'00
       1.08 |     1.40 ||     1011 |    26290 |     1011 | 5.47e-02 | 1.00e+00 ||   64.633 | 00h00'00
       1.28 |     1.60 ||     1012 |    24363 |     1012 | 5.07e-02 | 1.00e+00 ||   63.101 | 00h00'00
       1.48 |     1.80 ||     1012 |    22305 |     1012 | 4.64e-02 | 1.00e+00 ||   64.558 | 00h00'00
       1.68 |     2.00 ||     1014 |    21056 |     1014 | 4.37e-02 | 1.00e+00 ||   62.285 | 00h00'00
       1.88 |     2.20 ||     1012 |    19143 |     1012 | 3.98e-02 | 1.00e+00 ||   62.927 | 00h00'00
       2.08 |     2.40 ||     1009 |    17344 |     1009 | 3.62e-02 | 1.00e+00 ||   63.497 | 00h00'00
       2.28 |     2.60 ||     1012 |    15995 |     1012 | 3.33e-02 | 1.00e+00 ||   64.059 | 00h00'00
       2.48 |     2.80 ||     1018 |    14762 |     1016 | 3.05e-02 | 9.98e-01 ||   65.160 | 00h00'00
       2.68 |     3.00 ||     1015 |    13262 |     1011 | 2.75e-02 | 9.96e-01 ||   65.003 | 00h00'00
       2.88 |     3.20 ||     1020 |    11804 |     1014 | 2.44e-02 | 9.94e-01 ||   64.773 | 00h00'00
       3.08 |     3.40 ||     1018 |    10808 |     1008 | 2.24e-02 | 9.90e-01 ||   63.734 | 00h00'00
       3.28 |     3.60 ||     1036 |     9802 |     1009 | 1.99e-02 | 9.74e-01 ||   62.712 | 00h00'00
       3.48 |     3.80 ||     1062 |     8746 |     1007 | 1.73e-02 | 9.48e-01 ||   64.723 | 00h00'00
       3.68 |     4.00 ||     1137 |     8053 |     1010 | 1.49e-02 | 8.88e-01 ||   65.591 | 00h00'00
       3.88 |     4.20 ||     1214 |     7397 |     1011 | 1.28e-02 | 8.33e-01 ||   65.114 | 00h00'00
