[metadata]
command=aff3ct -p 32 -N 40 -K 20 -C "LDPC" --src-implem FAST --chn-implem FAST --enc-type "LDPC_5G" -m 0.0 -M 8.0 -s 1.0 --dec-type BP_FLOODING --dec-no-synd -i 20 --dec-implem OMS --dec-off 0.5
title=LDPC (40,20) BPF-OMS 20 ite. 5G NR UL-SCH

[trace]
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters:
# * Simulation ------------------------------------
#    ** Type                      = BFER
#    ** Type of bits              = int32
#    ** Type of reals             = float32
#    ** Date (UTC)                = 2026-06-24 21:49:07
#    ** Git version               = v4.4.0-20-g5e083bc
#    ** Code type (C)             = LDPC
#    ** Noise range               = 0 -> 8 dB
#    ** Noise type (E)            = EBN0
#    ** Seed                      = 0
#    ** Statistics                = off
#    ** Debug mode                = off
#    ** Inter frame level         = 1
#    ** Multi-threading (t)       = 16 thread(s)
#    ** Coset approach (c)        = no
#    ** Coded monitoring          = no
#    ** Bad frames tracking       = off
#    ** Bad frames replay         = off
#    ** Bit rate                  = 0.5 (1/2)
# * Source ----------------------------------------
#    ** Type                      = RAND
#    ** Implementation            = FAST
#    ** Info. bits (K_info)       = 20
# * Codec -----------------------------------------
#    ** Type                      = LDPC
#    ** Info. bits (K)            = 20
#    ** Codeword size (N_cw)      = 208
#    ** Frame size (N)            = 40
#    ** Code rate                 = 0.5 (1/2)
# * Encoder ---------------------------------------
#    ** Type                      = LDPC_5G
#    ** Systematic                = yes
#    ** Base graph                = BG2
#    ** Index list                = 0
#    ** Zc                        = 4
#    ** K LDPC                    = 40
#    ** N LDPC                    = 208
#    ** G matrix path             = ../conf/enc/LDPC/5G/NR_2_0_4.txt
# * Decoder ---------------------------------------
#    ** Type (D)                  = BP_FLOODING
#    ** Implementation            = OMS
#    ** Systematic                = yes
#    ** H matrix path             = ../conf/dec/LDPC/5G/NR_2_0_4.qc
#    ** H matrix reordering       = NONE
#    ** Num. of iterations (i)    = 20
#    ** Offset                    = 0.500000
#    ** Stop criterion (syndrome) = off
# * Puncturer -------------------------------------
#    ** Type                      = LDPC_5G
#    ** Pattern                   = {}
# * Modem -----------------------------------------
#    ** Type                      = BPSK
#    ** Implementation            = STD
#    ** Bits per symbol           = 1
#    ** Sigma square              = on
# * Channel ---------------------------------------
#    ** Type                      = AWGN
#    ** Implementation            = FAST
#    ** Complex                   = off
#    ** Add users                 = off
# * Monitor ---------------------------------------
#    ** Lazy reduction            = off
#    ** Frame error count (e)     = 100
#    ** Compute mutual info       = no
# * Terminal --------------------------------------
#    ** Show Sigma                = off
#    ** Enabled                   = yes
#    ** Frequency (ms)            = 500
#
# The simulation is running...
# ---------------------||--------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||    Bit Error Rate (BER) and Frame Error Rate (FER)     ||  Global throughput
#         (SNR)        ||                                                        ||  and elapsed time
# ---------------------||--------------------------------------------------------||---------------------
# ----------|----------||------------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||        FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT
#      (dB) |     (dB) ||            |          |          |          |          ||   (Mb/s) | (hhmmss)
# ----------|----------||------------|----------|----------|----------|----------||----------|----------
      -3.01 |     0.00 ||        145 |      528 |      118 | 1.82e-01 | 8.14e-01 ||    1.928 | 00h00'00
      -2.01 |     1.00 ||        214 |      459 |      109 | 1.07e-01 | 5.09e-01 ||    2.470 | 00h00'00
      -1.01 |     2.00 ||        368 |      419 |      109 | 5.69e-02 | 2.96e-01 ||    2.745 | 00h00'00
      -0.01 |     3.00 ||        893 |      426 |      101 | 2.39e-02 | 1.13e-01 ||    2.944 | 00h00'00
       0.99 |     4.00 ||       5032 |      407 |      100 | 4.04e-03 | 1.99e-02 ||    3.126 | 00h00'00
       1.99 |     5.00 ||      26292 |      445 |      101 | 8.46e-04 | 3.84e-03 ||    3.666 | 00h00'00
       2.99 |     6.00 ||     226464 |      385 |      100 | 8.50e-05 | 4.42e-04 ||    4.835 | 00h00'00
       3.99 |     7.00 ||    2571117 |      414 |      100 | 8.05e-06 | 3.89e-05 ||    4.981 | 00h00'10
       4.99 |     8.00 ||   29399376 |      411 |      100 | 6.99e-07 | 3.40e-06 ||    4.979 | 00h01'58
# End of the simulation.
