[metadata]
command=aff3ct -p 32 -N 1024 -K 512 -C "LDPC" --src-implem FAST --chn-implem FAST --enc-type "LDPC_5G" -m 0.0 -M 2.75 -s 0.25 --dec-type BP_FLOODING --dec-no-synd -i 20 --dec-implem SPA
title=LDPC (1024,512) BPF-SPA 20 ite. 5G NR UL-SCH

[trace]
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters:
# * Simulation ------------------------------------
#    ** Type                      = BFER
#    ** Type of bits              = int32
#    ** Type of reals             = float32
#    ** Date (UTC)                = 2026-06-24 21:23:28
#    ** Git version               = v4.4.0-20-g5e083bc
#    ** Code type (C)             = LDPC
#    ** Noise range               = 0 -> 2.75 dB
#    ** Noise type (E)            = EBN0
#    ** Seed                      = 0
#    ** Statistics                = off
#    ** Debug mode                = off
#    ** Inter frame level         = 1
#    ** Multi-threading (t)       = 16 thread(s)
#    ** Coset approach (c)        = no
#    ** Coded monitoring          = no
#    ** Bad frames tracking       = off
#    ** Bad frames replay         = off
#    ** Bit rate                  = 0.5 (1/2)
# * Source ----------------------------------------
#    ** Type                      = RAND
#    ** Implementation            = FAST
#    ** Info. bits (K_info)       = 512
# * Codec -----------------------------------------
#    ** Type                      = LDPC
#    ** Info. bits (K)            = 512
#    ** Codeword size (N_cw)      = 3328
#    ** Frame size (N)            = 1024
#    ** Code rate                 = 0.5 (1/2)
# * Encoder ---------------------------------------
#    ** Type                      = LDPC_5G
#    ** Systematic                = yes
#    ** Base graph                = BG2
#    ** Index list                = 0
#    ** Zc                        = 64
#    ** K LDPC                    = 640
#    ** N LDPC                    = 3328
#    ** G matrix path             = ../conf/enc/LDPC/5G/NR_2_0_64.txt
# * Decoder ---------------------------------------
#    ** Type (D)                  = BP_FLOODING
#    ** Implementation            = SPA
#    ** Systematic                = yes
#    ** H matrix path             = ../conf/dec/LDPC/5G/NR_2_0_64.qc
#    ** H matrix reordering       = NONE
#    ** Num. of iterations (i)    = 20
#    ** Stop criterion (syndrome) = off
# * Puncturer -------------------------------------
#    ** Type                      = LDPC_5G
#    ** Pattern                   = {}
# * Modem -----------------------------------------
#    ** Type                      = BPSK
#    ** Implementation            = STD
#    ** Bits per symbol           = 1
#    ** Sigma square              = on
# * Channel ---------------------------------------
#    ** Type                      = AWGN
#    ** Implementation            = FAST
#    ** Complex                   = off
#    ** Add users                 = off
# * Monitor ---------------------------------------
#    ** Lazy reduction            = off
#    ** Frame error count (e)     = 100
#    ** Compute mutual info       = no
# * Terminal --------------------------------------
#    ** Show Sigma                = off
#    ** Enabled                   = yes
#    ** Frequency (ms)            = 500
#
# The simulation is running...
# ---------------------||--------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||    Bit Error Rate (BER) and Frame Error Rate (FER)     ||  Global throughput
#         (SNR)        ||                                                        ||  and elapsed time
# ---------------------||--------------------------------------------------------||---------------------
# ----------|----------||------------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||        FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT
#      (dB) |     (dB) ||            |          |          |          |          ||   (Mb/s) | (hhmmss)
# ----------|----------||------------|----------|----------|----------|----------||----------|----------
      -3.01 |     0.00 ||        123 |    10369 |      122 | 1.65e-01 | 9.92e-01 ||    0.689 | 00h00'00
      -2.76 |     0.25 ||        122 |     8705 |      117 | 1.39e-01 | 9.59e-01 ||    0.839 | 00h00'00
      -2.51 |     0.50 ||        139 |     7634 |      125 | 1.07e-01 | 8.99e-01 ||    0.844 | 00h00'00
      -2.26 |     0.75 ||        152 |     5719 |      114 | 7.35e-02 | 7.50e-01 ||    0.837 | 00h00'00
      -2.01 |     1.00 ||        237 |     4469 |      113 | 3.68e-02 | 4.77e-01 ||    0.864 | 00h00'00
      -1.76 |     1.25 ||        450 |     3109 |      105 | 1.35e-02 | 2.33e-01 ||    0.961 | 00h00'00
      -1.51 |     1.50 ||       1621 |     2873 |      101 | 3.46e-03 | 6.23e-02 ||    1.286 | 00h00'00
      -1.26 |     1.75 ||       5916 |     1833 |      100 | 6.05e-04 | 1.69e-02 ||    1.387 | 00h00'02
      -1.01 |     2.00 ||      35763 |     1712 |      100 | 9.35e-05 | 2.80e-03 ||    1.486 | 00h00'12
      -0.76 |     2.25 ||     245163 |     1478 |      100 | 1.18e-05 | 4.08e-04 ||    1.548 | 00h01'21
      -0.51 |     2.50 ||    2172787 |     1505 |      100 | 1.35e-06 | 4.60e-05 ||    1.551 | 00h11'57
      -0.26 |     2.75 ||   11723906 |      647 |      100 | 1.08e-07 | 8.53e-06 ||    1.576 | 01h03'28
# End of the simulation.
