[metadata]
command=./bin/aff3ct --sim-type "BFER" -C "RS" -N "127" -K "119" -T "4" -m "0" -M "10" -s "0.2" -e "1000" --src-implem "FAST" --mdm-implem "FAST" --chn-implem "FAST"
title=RS (127,119,4)
ci=on

[trace]
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-07-31 10:52:09
#    ** Git version            = v1.3.2-836-g7e3e327
#    ** Code type (C)          = RS
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 8 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.937008 (119/127)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = FAST
#    ** Info. bits (K_info)    = 833
# * Codec -----------------------------------------
#    ** Type                   = RS
#    ** Info. bits (K)         = 833
#    ** Codeword size (N_cw)   = 889
#    ** Frame size (N)         = 889
#    ** Code rate              = 0.937008 (119/127)
#    ** Symbols Source size    = 119
#    ** Symbols Codeword size  = 127
# * Encoder ---------------------------------------
#    ** Type                   = RS
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 7
#    ** Correction power (T)   = 4
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = FAST
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
#
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput
#         (SNR)        ||                                                      ||  and elapsed time
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss)
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
      -0.28 |     0.00 ||     1002 |    72135 |     1002 | 8.64e-02 | 1.00e+00 ||   29.254 | 00h00'00
      -0.08 |     0.20 ||     1003 |    67314 |     1003 | 8.06e-02 | 1.00e+00 ||  132.999 | 00h00'00
       0.12 |     0.40 ||     1006 |    63847 |     1006 | 7.62e-02 | 1.00e+00 ||  210.923 | 00h00'00
       0.32 |     0.60 ||     1007 |    60678 |     1007 | 7.23e-02 | 1.00e+00 ||  244.201 | 00h00'00
       0.52 |     0.80 ||     1009 |    56119 |     1009 | 6.68e-02 | 1.00e+00 ||  246.408 | 00h00'00
       0.72 |     1.00 ||     1010 |    53095 |     1010 | 6.31e-02 | 1.00e+00 ||  224.056 | 00h00'00
       0.92 |     1.20 ||     1011 |    49298 |     1011 | 5.85e-02 | 1.00e+00 ||  230.666 | 00h00'00
       1.12 |     1.40 ||     1012 |    45565 |     1012 | 5.41e-02 | 1.00e+00 ||  229.574 | 00h00'00
       1.32 |     1.60 ||     1014 |    42293 |     1014 | 5.01e-02 | 1.00e+00 ||  228.102 | 00h00'00
       1.52 |     1.80 ||     1012 |    39436 |     1012 | 4.68e-02 | 1.00e+00 ||  227.223 | 00h00'00
       1.72 |     2.00 ||     1010 |    36234 |     1010 | 4.31e-02 | 1.00e+00 ||  226.896 | 00h00'00
       1.92 |     2.20 ||     1010 |    33342 |     1010 | 3.96e-02 | 1.00e+00 ||  221.519 | 00h00'00
       2.12 |     2.40 ||     1009 |    30535 |     1009 | 3.63e-02 | 1.00e+00 ||  225.455 | 00h00'00
       2.32 |     2.60 ||     1015 |    27873 |     1015 | 3.30e-02 | 1.00e+00 ||  228.574 | 00h00'00
       2.52 |     2.80 ||     1010 |    25187 |     1010 | 2.99e-02 | 1.00e+00 ||  228.871 | 00h00'00
       2.72 |     3.00 ||     1009 |    22738 |     1009 | 2.71e-02 | 1.00e+00 ||  228.769 | 00h00'00
       2.92 |     3.20 ||     1013 |    20942 |     1013 | 2.48e-02 | 1.00e+00 ||  224.542 | 00h00'00
       3.12 |     3.40 ||     1008 |    18229 |     1008 | 2.17e-02 | 1.00e+00 ||  228.418 | 00h00'00
       3.32 |     3.60 ||     1014 |    16782 |     1014 | 1.99e-02 | 1.00e+00 ||  227.979 | 00h00'00
       3.52 |     3.80 ||     1014 |    14711 |     1013 | 1.74e-02 | 9.99e-01 ||  229.403 | 00h00'00
       3.72 |     4.00 ||     1017 |    13247 |     1014 | 1.56e-02 | 9.97e-01 ||  229.272 | 00h00'00
       3.92 |     4.20 ||     1024 |    11769 |     1011 | 1.38e-02 | 9.87e-01 ||  225.361 | 00h00'00
