[metadata]
command=./bin/aff3ct --sim-type "BFER" -C "RS" -N "127" -K "125" -T "1" -m "0" -M "10" -s "0.2" -e "1000" --src-implem "FAST" --mdm-implem "FAST" --chn-implem "FAST" 
title=RS (127,125,1)
ci=off

[trace]
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-07-31 10:33:51
#    ** Git version            = v1.3.2-836-g7e3e327
#    ** Code type (C)          = RS
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 8 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.984252 (125/127)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = FAST
#    ** Info. bits (K_info)    = 875
# * Codec -----------------------------------------
#    ** Type                   = RS
#    ** Info. bits (K)         = 875
#    ** Codeword size (N_cw)   = 889
#    ** Frame size (N)         = 889
#    ** Code rate              = 0.984252 (125/127)
#    ** Symbols Source size    = 125
#    ** Symbols Codeword size  = 127
# * Encoder ---------------------------------------
#    ** Type                   = RS
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 7
#    ** Correction power (T)   = 1
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = FAST
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
#
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput
#         (SNR)        ||                                                      ||  and elapsed time
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss)
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
      -0.07 |     0.00 ||     1009 |    74078 |     1009 | 8.39e-02 | 1.00e+00 ||   14.629 | 00h00'00
       0.13 |     0.20 ||     1008 |    69143 |     1008 | 7.84e-02 | 1.00e+00 ||  406.077 | 00h00'00
       0.33 |     0.40 ||     1008 |    65202 |     1008 | 7.39e-02 | 1.00e+00 ||  436.850 | 00h00'00
       0.53 |     0.60 ||     1013 |    62074 |     1013 | 7.00e-02 | 1.00e+00 ||  444.076 | 00h00'00
       0.73 |     0.80 ||     1010 |    57995 |     1010 | 6.56e-02 | 1.00e+00 ||  449.517 | 00h00'00
       0.93 |     1.00 ||     1014 |    53889 |     1014 | 6.07e-02 | 1.00e+00 ||  450.381 | 00h00'00
       1.13 |     1.20 ||     1012 |    50711 |     1012 | 5.73e-02 | 1.00e+00 ||  458.571 | 00h00'00
       1.33 |     1.40 ||     1008 |    46460 |     1008 | 5.27e-02 | 1.00e+00 ||  461.056 | 00h00'00
       1.53 |     1.60 ||     1011 |    43994 |     1011 | 4.97e-02 | 1.00e+00 ||  464.370 | 00h00'00
       1.73 |     1.80 ||     1013 |    40486 |     1013 | 4.57e-02 | 1.00e+00 ||  463.343 | 00h00'00
       1.93 |     2.00 ||     1006 |    37413 |     1006 | 4.25e-02 | 1.00e+00 ||  464.022 | 00h00'00
       2.13 |     2.20 ||     1014 |    34544 |     1014 | 3.89e-02 | 1.00e+00 ||  459.477 | 00h00'00
       2.33 |     2.40 ||     1014 |    31987 |     1014 | 3.61e-02 | 1.00e+00 ||  417.529 | 00h00'00
       2.53 |     2.60 ||     1008 |    29363 |     1008 | 3.33e-02 | 1.00e+00 ||  398.554 | 00h00'00
       2.73 |     2.80 ||     1014 |    26970 |     1014 | 3.04e-02 | 1.00e+00 ||  441.638 | 00h00'00
       2.93 |     3.00 ||     1008 |    24393 |     1008 | 2.77e-02 | 1.00e+00 ||  396.583 | 00h00'00
       3.13 |     3.20 ||     1015 |    22290 |     1015 | 2.51e-02 | 1.00e+00 ||  444.730 | 00h00'00
       3.33 |     3.40 ||     1007 |    19953 |     1007 | 2.26e-02 | 1.00e+00 ||  451.859 | 00h00'00
       3.53 |     3.60 ||     1006 |    18497 |     1006 | 2.10e-02 | 1.00e+00 ||  425.036 | 00h00'00
       3.73 |     3.80 ||     1010 |    16622 |     1010 | 1.88e-02 | 1.00e+00 ||  463.424 | 00h00'00
       3.93 |     4.00 ||     1012 |    14892 |     1012 | 1.68e-02 | 1.00e+00 ||  456.679 | 00h00'00
       4.13 |     4.20 ||     1011 |    13463 |     1010 | 1.52e-02 | 9.99e-01 ||  454.820 | 00h00'00
