Run command:
./bin/aff3ct --sim-type "BFER" -C "RS" -N "15" -K "11" -T "2" -m "0" -M "10" -s "0.2" -e "1000" --src-implem "FAST" --mdm-implem "FAST" --chn-implem "FAST" --sim-pyber "RS (15,11,2)" 
Curve name:
RS (15,11,2)
Trace:
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-07-31 09:22:06
#    ** Git version            = v1.3.2-835-g653b512
#    ** Code type (C)          = RS
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 48 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.733333 (11/15)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = FAST
#    ** Info. bits (K_info)    = 44
# * Codec -----------------------------------------
#    ** Type                   = RS
#    ** Info. bits (K)         = 44
#    ** Codeword size (N_cw)   = 60
#    ** Frame size (N)         = 60
#    ** Code rate              = 0.733333 (11/15)
#    ** Symbols Source size    = 11
#    ** Symbols Codeword size  = 15
# * Encoder ---------------------------------------
#    ** Type                   = RS
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 4
#    ** Correction power (T)   = 2
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = FAST
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
# 
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput  
#         (SNR)        ||                                                      ||  and elapsed time   
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT 
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss) 
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
      -1.35 |     0.00 ||    15379 |    88626 |    14797 | 1.31e-01 | 9.62e-01 ||    2.074 | 00h00'00   
      -1.15 |     0.20 ||    12564 |    69411 |    11960 | 1.26e-01 | 9.52e-01 ||  106.886 | 00h00'00   
      -0.95 |     0.40 ||    15377 |    80715 |    14441 | 1.19e-01 | 9.39e-01 ||  119.792 | 00h00'00   
      -0.75 |     0.60 ||    12820 |    64274 |    11794 | 1.14e-01 | 9.20e-01 ||  110.236 | 00h00'00   
      -0.55 |     0.80 ||    15415 |    72843 |    13909 | 1.07e-01 | 9.02e-01 ||  119.686 | 00h00'00   
      -0.35 |     1.00 ||    12718 |    56751 |    11203 | 1.01e-01 | 8.81e-01 ||  110.657 | 00h00'00   
      -0.15 |     1.20 ||    15412 |    64818 |    13209 | 9.56e-02 | 8.57e-01 ||  127.133 | 00h00'00   
       0.05 |     1.40 ||    13211 |    51640 |    10893 | 8.88e-02 | 8.25e-01 ||  123.888 | 00h00'00   
       0.25 |     1.60 ||    16077 |    58035 |    12657 | 8.20e-02 | 7.87e-01 ||  130.442 | 00h00'00   
       0.45 |     1.80 ||    12988 |    43656 |     9797 | 7.64e-02 | 7.54e-01 ||  126.740 | 00h00'00   
       0.65 |     2.00 ||    16511 |    51226 |    11761 | 7.05e-02 | 7.12e-01 ||  139.467 | 00h00'00   
       0.85 |     2.20 ||    12770 |    35538 |     8411 | 6.32e-02 | 6.59e-01 ||  132.052 | 00h00'00   
       1.05 |     2.40 ||    16607 |    41765 |    10140 | 5.72e-02 | 6.11e-01 ||  143.360 | 00h00'00   
       1.25 |     2.60 ||    13002 |    29401 |     7273 | 5.14e-02 | 5.59e-01 ||  134.863 | 00h00'00   
       1.45 |     2.80 ||    16834 |    33878 |     8556 | 4.57e-02 | 5.08e-01 ||  147.080 | 00h00'00   
       1.65 |     3.00 ||    13684 |    24010 |     6198 | 3.99e-02 | 4.53e-01 ||  142.306 | 00h00'00   
       1.85 |     3.20 ||    16456 |    24742 |     6597 | 3.42e-02 | 4.01e-01 ||  151.193 | 00h00'00   
       2.05 |     3.40 ||    13717 |    17870 |     4719 | 2.96e-02 | 3.44e-01 ||  143.907 | 00h00'00   
       2.25 |     3.60 ||    16963 |    18368 |     5024 | 2.46e-02 | 2.96e-01 ||  157.297 | 00h00'00   
       2.45 |     3.80 ||    13369 |    12009 |     3285 | 2.04e-02 | 2.46e-01 ||  147.096 | 00h00'00   
       2.65 |     4.00 ||    16627 |    12194 |     3440 | 1.67e-02 | 2.07e-01 ||  160.120 | 00h00'00   
       2.85 |     4.20 ||    13718 |     7975 |     2263 | 1.32e-02 | 1.65e-01 ||  150.334 | 00h00'00   
