#CI IGNORE
Run command:
./bin/aff3ct --sim-type "BFER" -C "RS" -N "15" -K "13" -T "1" -m "0" -M "10" -s "0.2" -e "1000" --src-implem "FAST" --mdm-implem "FAST" --chn-implem "FAST" --sim-pyber "RS (15,13,1)"
Curve name:
RS (15,13,1)
Trace:
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-07-31 09:21:58
#    ** Git version            = v1.3.2-835-g653b512
#    ** Code type (C)          = RS
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 8 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.866667 (13/15)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = FAST
#    ** Info. bits (K_info)    = 52
# * Codec -----------------------------------------
#    ** Type                   = RS
#    ** Info. bits (K)         = 52
#    ** Codeword size (N_cw)   = 60
#    ** Frame size (N)         = 60
#    ** Code rate              = 0.866667 (13/15)
#    ** Symbols Source size    = 13
#    ** Symbols Codeword size  = 15
# * Encoder ---------------------------------------
#    ** Type                   = RS
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 4
#    ** Correction power (T)   = 1
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = FAST
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
#
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput
#         (SNR)        ||                                                      ||  and elapsed time
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss)
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
      -0.62 |     0.00 ||     1031 |     6285 |     1008 | 1.17e-01 | 9.78e-01 ||    2.029 | 00h00'00
      -0.42 |     0.20 ||     1043 |     6223 |     1011 | 1.15e-01 | 9.69e-01 ||   85.546 | 00h00'00
      -0.22 |     0.40 ||     1051 |     6076 |     1014 | 1.11e-01 | 9.65e-01 ||   81.327 | 00h00'00
      -0.02 |     0.60 ||     1045 |     5639 |     1005 | 1.04e-01 | 9.62e-01 ||   78.868 | 00h00'00
       0.18 |     0.80 ||     1161 |     5869 |     1079 | 9.72e-02 | 9.29e-01 ||   81.694 | 00h00'00
       0.38 |     1.00 ||     1092 |     5464 |     1006 | 9.62e-02 | 9.21e-01 ||   84.752 | 00h00'00
       0.58 |     1.20 ||     1110 |     5186 |     1010 | 8.98e-02 | 9.10e-01 ||   92.500 | 00h00'00
       0.78 |     1.40 ||     1147 |     4968 |     1010 | 8.33e-02 | 8.81e-01 ||   93.780 | 00h00'00
       0.98 |     1.60 ||     1185 |     4738 |     1007 | 7.69e-02 | 8.50e-01 ||   96.432 | 00h00'00
       1.18 |     1.80 ||     1223 |     4633 |     1008 | 7.29e-02 | 8.24e-01 ||   96.798 | 00h00'00
       1.38 |     2.00 ||     1296 |     4587 |     1010 | 6.81e-02 | 7.79e-01 ||  104.972 | 00h00'00
       1.58 |     2.20 ||     1373 |     4253 |     1006 | 5.96e-02 | 7.33e-01 ||  105.615 | 00h00'00
       1.78 |     2.40 ||     1437 |     4225 |     1005 | 5.65e-02 | 6.99e-01 ||  102.643 | 00h00'00
       1.98 |     2.60 ||     1512 |     4226 |     1010 | 5.37e-02 | 6.68e-01 ||  103.317 | 00h00'00
       2.18 |     2.80 ||     1591 |     4013 |     1006 | 4.85e-02 | 6.32e-01 ||  103.935 | 00h00'00
       2.38 |     3.00 ||     1806 |     3952 |     1004 | 4.21e-02 | 5.56e-01 ||  108.318 | 00h00'00
       2.58 |     3.20 ||     1986 |     3906 |     1006 | 3.78e-02 | 5.07e-01 ||  108.479 | 00h00'00
       2.78 |     3.40 ||     2261 |     3835 |     1002 | 3.26e-02 | 4.43e-01 ||  112.402 | 00h00'00
       2.98 |     3.60 ||     2479 |     3732 |     1002 | 2.90e-02 | 4.04e-01 ||  121.268 | 00h00'00
       3.18 |     3.80 ||     2965 |     3750 |     1007 | 2.43e-02 | 3.40e-01 ||  119.891 | 00h00'00
       3.38 |     4.00 ||     3370 |     3619 |     1002 | 2.07e-02 | 2.97e-01 ||  119.455 | 00h00'00
       3.58 |     4.20 ||     4088 |     3591 |     1002 | 1.69e-02 | 2.45e-01 ||  121.681 | 00h00'00
       3.78 |     4.40 ||     5027 |     3486 |     1004 | 1.33e-02 | 2.00e-01 ||  133.301 | 00h00'00
       3.98 |     4.60 ||     5725 |     3599 |     1002 | 1.21e-02 | 1.75e-01 ||  151.656 | 00h00'00
       4.18 |     4.80 ||     7553 |     3497 |     1001 | 8.90e-03 | 1.33e-01 ||  157.797 | 00h00'00
       4.38 |     5.00 ||     9352 |     3413 |     1000 | 7.02e-03 | 1.07e-01 ||  175.308 | 00h00'00
       4.58 |     5.20 ||    11834 |     3437 |     1001 | 5.59e-03 | 8.46e-02 ||  184.463 | 00h00'00
