[metadata]
title=RS (255,207,24)
ci=off
command=./bin/aff3ct --sim-type "BFER" -C "RS" -N "255" -K "207" -T "24" -m "0" -M "10" -s "0.2" -e "1000" --src-implem "FAST" --mdm-implem "FAST" --chn-implem "FAST"

[trace]
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-08-02 11:19:25
#    ** Git version            = v1.3.2-859-gab8421b
#    ** Code type (C)          = RS
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 48 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.811765 (69/85)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = FAST
#    ** Info. bits (K_info)    = 1656
# * Codec -----------------------------------------
#    ** Type                   = RS
#    ** Info. bits (K)         = 1656
#    ** Codeword size (N_cw)   = 2040
#    ** Frame size (N)         = 2040
#    ** Code rate              = 0.811765 (69/85)
#    ** Symbols Source size    = 207
#    ** Symbols Codeword size  = 255
# * Encoder ---------------------------------------
#    ** Type                   = RS
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 8
#    ** Correction power (T)   = 24
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = FAST
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
#
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput  
#         (SNR)        ||                                                      ||  and elapsed time   
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT 
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss) 
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
# End of the simulation.
      -0.91 |     0.00 ||     1091 |   183421 |     1091 | 1.02e-01 | 1.00e+00 ||    4.900 | 00h00'00   
      -0.71 |     0.20 ||     1053 |   168112 |     1053 | 9.64e-02 | 1.00e+00 ||  133.561 | 00h00'00   
      -0.51 |     0.40 ||     1060 |   160492 |     1060 | 9.14e-02 | 1.00e+00 ||  139.591 | 00h00'00   
      -0.31 |     0.60 ||     1063 |   151908 |     1063 | 8.63e-02 | 1.00e+00 ||  150.558 | 00h00'00   
      -0.11 |     0.80 ||     1055 |   141808 |     1055 | 8.12e-02 | 1.00e+00 ||  156.717 | 00h00'00   
       0.09 |     1.00 ||     1054 |   133224 |     1054 | 7.63e-02 | 1.00e+00 ||  164.275 | 00h00'00   
       0.29 |     1.20 ||     1047 |   124428 |     1047 | 7.18e-02 | 1.00e+00 ||  174.746 | 00h00'00   
       0.49 |     1.40 ||     1091 |   122256 |     1091 | 6.77e-02 | 1.00e+00 ||  185.473 | 00h00'00   
       0.69 |     1.60 ||     1068 |   111479 |     1068 | 6.30e-02 | 1.00e+00 ||  189.724 | 00h00'00   
       0.89 |     1.80 ||     1089 |   105737 |     1089 | 5.86e-02 | 1.00e+00 ||  201.947 | 00h00'00   
       1.09 |     2.00 ||     1069 |    96031 |     1069 | 5.42e-02 | 1.00e+00 ||  203.783 | 00h00'00   
       1.29 |     2.20 ||     1061 |    88634 |     1061 | 5.04e-02 | 1.00e+00 ||  213.593 | 00h00'00   
       1.49 |     2.40 ||     1089 |    83746 |     1089 | 4.64e-02 | 1.00e+00 ||  218.142 | 00h00'00   
       1.69 |     2.60 ||     1067 |    75832 |     1067 | 4.29e-02 | 1.00e+00 ||  224.403 | 00h00'00   
       1.89 |     2.80 ||     1086 |    70789 |     1086 | 3.94e-02 | 1.00e+00 ||  231.308 | 00h00'00   
       2.09 |     3.00 ||     1062 |    63455 |     1062 | 3.61e-02 | 1.00e+00 ||  230.827 | 00h00'00   
       2.29 |     3.20 ||     1086 |    58865 |     1086 | 3.27e-02 | 1.00e+00 ||  231.546 | 00h00'00   
       2.49 |     3.40 ||     1066 |    52640 |     1066 | 2.98e-02 | 1.00e+00 ||  231.818 | 00h00'00   
       2.69 |     3.60 ||     1052 |    46879 |     1052 | 2.69e-02 | 1.00e+00 ||  232.623 | 00h00'00   
       2.89 |     3.80 ||     1069 |    43036 |     1069 | 2.43e-02 | 1.00e+00 ||  236.540 | 00h00'00   
       3.09 |     4.00 ||     1054 |    37842 |     1054 | 2.17e-02 | 1.00e+00 ||  232.259 | 00h00'00   
       3.29 |     4.20 ||     1077 |    34358 |     1067 | 1.93e-02 | 9.91e-01 ||  241.636 | 00h00'00   
