Run command:
./bin/aff3ct --sim-type "BFER" -C "RS" -N "255" -K "225" -T "15" -m "0" -M "10" -s "0.2" -e "1000" --src-implem "FAST" --mdm-implem "FAST" --chn-implem "FAST" --sim-pyber "RS (255,225,15)" 
Curve name:
RS (255,225,15)
Trace:
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-08-02 09:23:27
#    ** Git version            = v1.3.2-842-gfeb303c
#    ** Code type (C)          = RS
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 8 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.882353 (15/17)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = FAST
#    ** Info. bits (K_info)    = 1800
# * Codec -----------------------------------------
#    ** Type                   = RS
#    ** Info. bits (K)         = 1800
#    ** Codeword size (N_cw)   = 2040
#    ** Frame size (N)         = 2040
#    ** Code rate              = 0.882353 (15/17)
#    ** Symbols Source size    = 225
#    ** Symbols Codeword size  = 255
# * Encoder ---------------------------------------
#    ** Type                   = RS
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 8
#    ** Correction power (T)   = 15
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = FAST
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
# 
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput  
#         (SNR)        ||                                                      ||  and elapsed time   
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT 
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss) 
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
      -0.54 |     0.00 ||     1007 |   166497 |     1007 | 9.19e-02 | 1.00e+00 ||   38.045 | 00h00'00   
      -0.34 |     0.20 ||     1006 |   157589 |     1006 | 8.70e-02 | 1.00e+00 ||  111.812 | 00h00'00   
      -0.14 |     0.40 ||     1013 |   149972 |     1013 | 8.22e-02 | 1.00e+00 ||  135.912 | 00h00'00   
       0.06 |     0.60 ||     1013 |   141306 |     1013 | 7.75e-02 | 1.00e+00 ||  142.320 | 00h00'00   
       0.26 |     0.80 ||     1007 |   131794 |     1007 | 7.27e-02 | 1.00e+00 ||  128.590 | 00h00'00   
       0.46 |     1.00 ||     1008 |   123553 |     1008 | 6.81e-02 | 1.00e+00 ||  140.162 | 00h00'00   
       0.66 |     1.20 ||     1011 |   115951 |     1011 | 6.37e-02 | 1.00e+00 ||  140.840 | 00h00'00   
       0.86 |     1.40 ||     1010 |   107643 |     1010 | 5.92e-02 | 1.00e+00 ||  143.138 | 00h00'00   
       1.06 |     1.60 ||     1011 |    99979 |     1011 | 5.49e-02 | 1.00e+00 ||  140.688 | 00h00'00   
       1.26 |     1.80 ||     1014 |    93606 |     1014 | 5.13e-02 | 1.00e+00 ||  142.271 | 00h00'00   
       1.46 |     2.00 ||     1007 |    85946 |     1007 | 4.74e-02 | 1.00e+00 ||  140.872 | 00h00'00   
       1.66 |     2.20 ||     1011 |    79428 |     1011 | 4.36e-02 | 1.00e+00 ||  133.280 | 00h00'00   
       1.86 |     2.40 ||     1014 |    72620 |     1014 | 3.98e-02 | 1.00e+00 ||  140.877 | 00h00'00   
       2.06 |     2.60 ||     1008 |    65942 |     1008 | 3.63e-02 | 1.00e+00 ||  139.056 | 00h00'00   
       2.26 |     2.80 ||     1011 |    60483 |     1011 | 3.32e-02 | 1.00e+00 ||  143.858 | 00h00'00   
       2.46 |     3.00 ||     1011 |    55148 |     1011 | 3.03e-02 | 1.00e+00 ||  141.223 | 00h00'00   
       2.66 |     3.20 ||     1011 |    49993 |     1011 | 2.75e-02 | 1.00e+00 ||  140.775 | 00h00'00   
       2.86 |     3.40 ||     1014 |    45134 |     1014 | 2.47e-02 | 1.00e+00 ||  140.324 | 00h00'00   
       3.06 |     3.60 ||     1012 |    40425 |     1012 | 2.22e-02 | 1.00e+00 ||  140.893 | 00h00'00   
       3.26 |     3.80 ||     1018 |    36531 |     1018 | 1.99e-02 | 1.00e+00 ||  135.143 | 00h00'00   
       3.46 |     4.00 ||     1009 |    32648 |     1009 | 1.80e-02 | 1.00e+00 ||  135.094 | 00h00'00   
       3.66 |     4.20 ||     1012 |    28438 |     1010 | 1.56e-02 | 9.98e-01 ||  144.262 | 00h00'00   
