[metadata]
command=./bin/aff3ct --sim-type "BFER" -C "RS" -N "255" -K "253" -T "1" -m "0" -M "10" -s "0.2" -e "1000" --src-implem "FAST" --mdm-implem "FAST" --chn-implem "FAST"
title=RS (255,253,1)
ci=off
url=https://www.embeddedrelated.com/showarticle/1182.php
info=https://c1.staticflickr.com/1/879/40996891980_d2cba66d7d_o.png

[trace]
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-07-31 13:48:08
#    ** Git version            = v1.3.2-836-g7e3e327
#    ** Code type (C)          = RS
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 48 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.992157 (253/255)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = FAST
#    ** Info. bits (K_info)    = 2024
# * Codec -----------------------------------------
#    ** Type                   = RS
#    ** Info. bits (K)         = 2024
#    ** Codeword size (N_cw)   = 2040
#    ** Frame size (N)         = 2040
#    ** Code rate              = 0.992157 (253/255)
#    ** Symbols Source size    = 253
#    ** Symbols Codeword size  = 255
# * Encoder ---------------------------------------
#    ** Type                   = RS
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 8
#    ** Correction power (T)   = 1
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = FAST
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
#
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput
#         (SNR)        ||                                                      ||  and elapsed time
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss)
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
      -0.03 |     0.00 ||     1452 |   237606 |     1452 | 8.09e-02 | 1.00e+00 ||    7.813 | 00h00'00
       0.17 |     0.20 ||     1191 |   183796 |     1191 | 7.62e-02 | 1.00e+00 ||  401.296 | 00h00'00
       0.37 |     0.40 ||     1500 |   218130 |     1500 | 7.18e-02 | 1.00e+00 ||  462.312 | 00h00'00
       0.57 |     0.60 ||     1320 |   179900 |     1320 | 6.73e-02 | 1.00e+00 ||  442.844 | 00h00'00
       0.77 |     0.80 ||     1545 |   197148 |     1545 | 6.30e-02 | 1.00e+00 ||  484.518 | 00h00'00
       0.97 |     1.00 ||     1313 |   155771 |     1313 | 5.86e-02 | 1.00e+00 ||  460.175 | 00h00'00
       1.17 |     1.20 ||     1571 |   174543 |     1571 | 5.49e-02 | 1.00e+00 ||  517.698 | 00h00'00
       1.37 |     1.40 ||     1353 |   139033 |     1353 | 5.08e-02 | 1.00e+00 ||  495.024 | 00h00'00
       1.57 |     1.60 ||     1669 |   158145 |     1669 | 4.68e-02 | 1.00e+00 ||  537.821 | 00h00'00
       1.77 |     1.80 ||     1372 |   120256 |     1372 | 4.33e-02 | 1.00e+00 ||  517.504 | 00h00'00
       1.97 |     2.00 ||     1688 |   136735 |     1688 | 4.00e-02 | 1.00e+00 ||  569.039 | 00h00'00
       2.17 |     2.20 ||     1430 |   106033 |     1430 | 3.66e-02 | 1.00e+00 ||  547.441 | 00h00'00
       2.37 |     2.40 ||     1716 |   116296 |     1716 | 3.35e-02 | 1.00e+00 ||  595.948 | 00h00'00
       2.57 |     2.60 ||     1455 |    90506 |     1455 | 3.07e-02 | 1.00e+00 ||  557.750 | 00h00'00
       2.77 |     2.80 ||     1754 |    98973 |     1754 | 2.79e-02 | 1.00e+00 ||  649.963 | 00h00'00
       2.97 |     3.00 ||     1485 |    75718 |     1485 | 2.52e-02 | 1.00e+00 ||  619.081 | 00h00'00
       3.17 |     3.20 ||     1789 |    82277 |     1789 | 2.27e-02 | 1.00e+00 ||  655.136 | 00h00'00
       3.37 |     3.40 ||     1529 |    63271 |     1529 | 2.04e-02 | 1.00e+00 ||  654.131 | 00h00'00
       3.57 |     3.60 ||     1847 |    68955 |     1847 | 1.84e-02 | 1.00e+00 ||  704.017 | 00h00'00
       3.77 |     3.80 ||     1562 |    52251 |     1562 | 1.65e-02 | 1.00e+00 ||  647.979 | 00h00'00
       3.97 |     4.00 ||     1901 |    56479 |     1901 | 1.47e-02 | 1.00e+00 ||  754.288 | 00h00'00
       4.17 |     4.20 ||     1615 |    42468 |     1615 | 1.30e-02 | 1.00e+00 ||  696.815 | 00h00'00
       4.37 |     4.40 ||     2006 |    46710 |     2006 | 1.15e-02 | 1.00e+00 ||  755.657 | 00h00'00
