[metadata]
command=./bin/aff3ct --sim-type "BFER" -C "RS" -N "31" -K "29" -T "1" -m "0" -M "10" -s "0.2" -e "1000" --src-implem "FAST" --mdm-implem "FAST" --chn-implem "FAST"
title=RS (31,29,1)
ci=off
url=https://www.uni-kl.de/channel-codes/ml-simulation-results/
info=https://www.uni-kl.de/fileadmin/_processed_/8/a/csm_rs_31_4f8b88f450.png

[trace]
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-07-31 09:27:41
#    ** Git version            = v1.3.2-836-g7e3e327
#    ** Code type (C)          = RS
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 8 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.935484 (29/31)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = FAST
#    ** Info. bits (K_info)    = 145
# * Codec -----------------------------------------
#    ** Type                   = RS
#    ** Info. bits (K)         = 145
#    ** Codeword size (N_cw)   = 155
#    ** Frame size (N)         = 155
#    ** Code rate              = 0.935484 (29/31)
#    ** Symbols Source size    = 29
#    ** Symbols Codeword size  = 31
# * Encoder ---------------------------------------
#    ** Type                   = RS
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 5
#    ** Correction power (T)   = 1
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = FAST
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
#
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput
#         (SNR)        ||                                                      ||  and elapsed time
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss)
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
      -0.29 |     0.00 ||     1018 |    14572 |     1018 | 9.87e-02 | 1.00e+00 ||    2.668 | 00h00'00
      -0.09 |     0.20 ||     1006 |    13775 |     1006 | 9.44e-02 | 1.00e+00 ||   93.029 | 00h00'00
       0.11 |     0.40 ||     1009 |    12928 |     1009 | 8.84e-02 | 1.00e+00 ||  100.346 | 00h00'00
       0.31 |     0.60 ||     1011 |    12290 |     1011 | 8.38e-02 | 1.00e+00 ||  101.520 | 00h00'00
       0.51 |     0.80 ||     1006 |    11635 |     1006 | 7.98e-02 | 1.00e+00 ||   99.979 | 00h00'00
       0.71 |     1.00 ||     1007 |    11031 |     1007 | 7.55e-02 | 1.00e+00 ||   95.372 | 00h00'00
       0.91 |     1.20 ||     1016 |    10615 |     1015 | 7.21e-02 | 9.99e-01 ||  107.848 | 00h00'00
       1.11 |     1.40 ||     1014 |     9914 |     1011 | 6.74e-02 | 9.97e-01 ||  109.235 | 00h00'00
       1.31 |     1.60 ||     1009 |     9265 |     1006 | 6.33e-02 | 9.97e-01 ||  102.168 | 00h00'00
       1.51 |     1.80 ||     1012 |     8825 |     1010 | 6.01e-02 | 9.98e-01 ||  108.938 | 00h00'00
       1.71 |     2.00 ||     1018 |     8361 |     1009 | 5.66e-02 | 9.91e-01 ||   92.720 | 00h00'00
       1.91 |     2.20 ||     1021 |     7979 |     1010 | 5.39e-02 | 9.89e-01 ||  100.848 | 00h00'00
       2.11 |     2.40 ||     1039 |     7301 |     1007 | 4.85e-02 | 9.69e-01 ||  113.104 | 00h00'00
       2.31 |     2.60 ||     1056 |     7115 |     1011 | 4.65e-02 | 9.57e-01 ||  132.457 | 00h00'00
       2.51 |     2.80 ||     1071 |     6631 |     1008 | 4.27e-02 | 9.41e-01 ||  140.793 | 00h00'00
       2.71 |     3.00 ||     1106 |     6226 |     1008 | 3.88e-02 | 9.11e-01 ||  141.795 | 00h00'00
       2.91 |     3.20 ||     1137 |     6010 |     1013 | 3.65e-02 | 8.91e-01 ||  130.328 | 00h00'00
       3.11 |     3.40 ||     1202 |     5778 |     1010 | 3.32e-02 | 8.40e-01 ||  149.734 | 00h00'00
       3.31 |     3.60 ||     1287 |     5582 |     1013 | 2.99e-02 | 7.87e-01 ||  171.995 | 00h00'00
       3.51 |     3.80 ||     1374 |     5232 |     1007 | 2.63e-02 | 7.33e-01 ||  174.917 | 00h00'00
       3.71 |     4.00 ||     1484 |     5114 |     1006 | 2.38e-02 | 6.78e-01 ||  181.128 | 00h00'00
       3.91 |     4.20 ||     1638 |     4974 |     1009 | 2.09e-02 | 6.16e-01 ||  184.259 | 00h00'00
       4.11 |     4.40 ||     1948 |     4743 |     1006 | 1.68e-02 | 5.16e-01 ||  215.618 | 00h00'00
       4.31 |     4.60 ||     2206 |     4688 |     1002 | 1.47e-02 | 4.54e-01 ||  221.978 | 00h00'00
