[metadata]
command=./bin/aff3ct --sim-type "BFER" -C "RS" -N "511" -K "495" -T "8" -m "0" -M "10" -s "0.2" -e "1000" --src-implem "FAST" --mdm-implem "FAST" --chn-implem "FAST" 
title=RS (511,495,8)
ci=off

[trace]
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-08-02 08:08:10
#    ** Git version            = v1.3.2-842-gfeb303c
#    ** Code type (C)          = RS
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 48 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.968689 (495/511)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = FAST
#    ** Info. bits (K_info)    = 4455
# * Codec -----------------------------------------
#    ** Type                   = RS
#    ** Info. bits (K)         = 4455
#    ** Codeword size (N_cw)   = 4599
#    ** Frame size (N)         = 4599
#    ** Code rate              = 0.968689 (495/511)
#    ** Symbols Source size    = 495
#    ** Symbols Codeword size  = 511
# * Encoder ---------------------------------------
#    ** Type                   = RS
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 9
#    ** Correction power (T)   = 8
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = FAST
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
# 
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput  
#         (SNR)        ||                                                      ||  and elapsed time   
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT 
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss) 
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
      -0.14 |     0.00 ||     1057 |   386636 |     1057 | 8.21e-02 | 1.00e+00 ||   12.083 | 00h00'00   
       0.06 |     0.20 ||     1071 |   368727 |     1071 | 7.73e-02 | 1.00e+00 ||  393.542 | 00h00'00   
       0.26 |     0.40 ||     1066 |   343574 |     1066 | 7.23e-02 | 1.00e+00 ||  418.675 | 00h00'00   
       0.46 |     0.60 ||     1068 |   323687 |     1068 | 6.80e-02 | 1.00e+00 ||  444.418 | 00h00'00   
       0.66 |     0.80 ||     1074 |   303529 |     1074 | 6.34e-02 | 1.00e+00 ||  477.369 | 00h00'00   
       0.86 |     1.00 ||     1054 |   278099 |     1054 | 5.92e-02 | 1.00e+00 ||  490.706 | 00h00'00   
       1.06 |     1.20 ||     1063 |   260434 |     1063 | 5.50e-02 | 1.00e+00 ||  527.651 | 00h00'00   
       1.26 |     1.40 ||     1050 |   239041 |     1050 | 5.11e-02 | 1.00e+00 ||  540.718 | 00h00'00   
       1.46 |     1.60 ||     1085 |   228436 |     1085 | 4.73e-02 | 1.00e+00 ||  565.276 | 00h00'00   
       1.66 |     1.80 ||     1059 |   205217 |     1059 | 4.35e-02 | 1.00e+00 ||  559.517 | 00h00'00   
       1.86 |     2.00 ||     1059 |   188162 |     1059 | 3.99e-02 | 1.00e+00 ||  597.196 | 00h00'00   
       2.06 |     2.20 ||     1057 |   171517 |     1057 | 3.64e-02 | 1.00e+00 ||  610.440 | 00h00'00   
       2.26 |     2.40 ||     1083 |   160393 |     1083 | 3.32e-02 | 1.00e+00 ||  640.144 | 00h00'00   
       2.46 |     2.60 ||     1075 |   144840 |     1075 | 3.02e-02 | 1.00e+00 ||  634.489 | 00h00'00   
       2.66 |     2.80 ||     1052 |   127972 |     1052 | 2.73e-02 | 1.00e+00 ||  659.721 | 00h00'00   
       2.86 |     3.00 ||     1087 |   119678 |     1087 | 2.47e-02 | 1.00e+00 ||  675.113 | 00h00'00   
       3.06 |     3.20 ||     1070 |   105789 |     1070 | 2.22e-02 | 1.00e+00 ||  693.259 | 00h00'00   
       3.26 |     3.40 ||     1084 |    95280 |     1084 | 1.97e-02 | 1.00e+00 ||  711.959 | 00h00'00   
       3.46 |     3.60 ||     1080 |    85214 |     1080 | 1.77e-02 | 1.00e+00 ||  704.451 | 00h00'00   
       3.66 |     3.80 ||     1056 |    73341 |     1056 | 1.56e-02 | 1.00e+00 ||  692.752 | 00h00'00   
       3.86 |     4.00 ||     1091 |    65933 |     1091 | 1.36e-02 | 1.00e+00 ||  700.044 | 00h00'00   
       4.06 |     4.20 ||     1089 |    58054 |     1089 | 1.20e-02 | 1.00e+00 ||  713.665 | 00h00'00   
